Number_of_Customers,Menu_Price,Marketing_Spend,Cuisine_Type,Average_Customer_Spending,Seating_Capacity,Promotions,Reviews,Monthly_Revenue
195,40.1,2993.97,Japanese,57.99,46,1,260.0,57286.84
216,59.56,529.66,Mexican,30.48,119,0,151.0,37539.15
45,54.95,358.41,American,22.18,140,0,200.0,10173.33
87,27.68,2012.48,Italian,45.26,20,0,390.0,20599.6
231,9.99,825.1,Mexican,31.22,188,0,465.0,28541.09
123,15.85,2420.66,Japanese,16.44,121,0,139.0,22595.0
205,25.36,2397.37,Mexican,52.93,111,1,,51503.08
43,26.72,2430.55,Mexican,31.48,195,1,155.0,13075.09
92,9.27,1693.0,Mexican,50.59,46,0,72.0,21214.66
62,9.02,939.06,American,35.37,162,1,492.0,14422.76
238,8.58,2076.93,American,48.17,32,0,284.0,54069.03
187,21.59,167.76,Mexican,38.21,185,0,30.0,37857.95
88,39.05,304.52,Japanese,32.62,119,1,494.0,20890.55
20,28.06,1421.1,American,36.83,30,1,209.0,12315.99
95,57.74,536.1,Italian,52.21,110,0,153.0,22997.21
270,16.03,72.49,Japanese,19.82,103,1,147.0,22729.75
26,19.89,977.49,Mexican,24.03,44,0,260.0,500.0
295,51.05,798.34,Mexican,45.22,30,1,343.0,64950.94
64,18.63,103.72,Mexican,14.42,133,0,460.0,7907.24
211,56.02,1551.49,Indian,34.98,139,0,338.0,33670.92
172,30.91,53.1,Japanese,24.08,123,0,376.0,15311.38
203,45.16,2074.45,Indian,29.78,47,1,77.0,36966.3
132,10.0,1549.31,Mexican,8.76,153,1,443.0,5786.12
271,16.48,512.04,Mexican,47.13,41,0,181.0,59228.9
209,48.49,656.56,American,34.76,142,0,489.0,27201.44
221,24.03,1777.39,American,18.55,59,1,123.0,17403.39
58,42.68,2947.85,American,28.52,151,0,25.0,1918.97
280,8.06,1050.08,Japanese,38.59,153,0,41.0,48621.36
157,21.33,2345.09,Italian,18.04,71,1,349.0,16352.9
215,9.33,778.81,American,19.8,190,1,363.0,23572.97
92,58.46,1016.5,Indian,42.29,66,0,17.0,26985.14
277,39.69,2606.18,Japanese,30.63,87,0,263.0,62467.23
212,38.29,809.29,Japanese,19.75,58,1,203.0,24087.63
112,37.81,2948.77,Japanese,45.01,27,0,117.0,29037.43
272,42.95,1097.61,Japanese,36.17,125,1,215.0,59999.24
91,56.04,2374.26,Italian,36.99,53,0,94.0,18458.94
299,35.92,2189.7,Italian,17.63,36,1,480.0,29241.1
30,19.04,2703.76,Indian,17.75,119,0,415.0,7616.43
253,9.63,2301.86,Indian,50.62,82,1,362.0,66352.9
171,24.16,860.08,Italian,39.18,184,1,375.0,37722.7
112,19.54,1385.7,Japanese,51.71,180,1,134.0,25853.86
267,16.57,2214.7,American,51.46,141,0,36.0,52149.8
244,54.51,571.64,Mexican,30.56,176,1,104.0,40521.61
169,26.0,2298.55,Mexican,8.06,99,0,116.0,15386.97
87,34.24,1859.95,Mexican,43.48,21,0,491.0,25027.69
239,22.63,1115.55,Indian,9.38,107,0,168.0,9567.64
39,31.47,1207.0,Mexican,15.18,66,0,275.0,5165.69
24,46.7,2867.98,Mexican,11.94,154,0,95.0,8618.76
295,54.79,1082.6,American,34.29,20,0,167.0,62883.44
53,52.41,2431.85,American,33.85,54,0,146.0,5782.6
143,48.63,2305.28,Indian,55.48,176,0,341.0,39519.05
205,20.58,1868.8,American,10.23,189,1,338.0,13236.4
249,26.95,2327.58,Indian,49.59,61,1,21.0,57818.11
150,49.19,2135.75,Japanese,42.81,127,1,333.0,44926.27
103,47.7,562.81,Japanese,19.3,129,1,366.0,5667.72
41,23.4,382.02,Indian,22.44,43,1,415.0,7647.68
139,24.82,2837.48,American,55.68,98,1,280.0,44004.91
87,57.43,1022.9,Indian,48.15,123,0,473.0,24980.63
223,33.71,292.09,Italian,32.09,37,0,225.0,40816.4
67,41.99,2441.02,American,19.79,86,1,18.0,500.0
292,57.7,2786.78,Japanese,23.74,133,1,480.0,47128.86
32,56.38,872.61,American,34.88,179,0,206.0,7929.5
127,16.24,1775.48,Japanese,28.1,97,0,330.0,19333.33
253,27.27,2371.95,Mexican,13.94,136,1,377.0,16367.74
130,57.12,586.35,Mexican,50.04,34,0,345.0,33351.85
162,43.94,549.34,American,43.44,40,0,231.0,32331.84
144,48.4,713.13,Japanese,28.64,46,1,,32135.22
296,50.6,2828.93,Japanese,32.53,172,1,325.0,54641.98
55,24.94,2578.99,Indian,42.08,152,0,223.0,11096.85
280,35.73,2944.08,Mexican,33.5,53,1,1.0,51049.09
270,58.31,2505.03,Italian,13.79,119,1,468.0,29918.35
74,46.26,1813.13,American,18.64,153,0,407.0,17344.14
63,29.76,1981.15,American,58.48,150,1,141.0,25837.83
235,20.61,1434.48,American,45.56,158,1,257.0,55822.6
59,11.94,2006.41,Mexican,19.82,176,0,238.0,4594.15
151,31.28,2204.66,American,19.15,67,1,427.0,15789.63
156,23.87,1998.05,Italian,48.05,24,1,3.0,29415.06
74,37.64,771.62,Mexican,24.0,195,0,95.0,10560.7
186,59.05,2288.64,Mexican,42.84,186,1,214.0,47872.79
218,11.37,835.62,Indian,19.83,158,0,479.0,20662.55
169,41.46,1891.46,Indian,14.86,73,1,172.0,13485.19
64,18.78,1983.85,Japanese,39.88,86,0,487.0,18837.82
155,15.72,992.24,Italian,45.47,112,1,210.0,39012.7
229,53.85,2551.46,American,15.32,151,0,442.0,26468.38
217,15.65,2388.64,American,25.13,84,1,197.0,35994.19
120,8.65,2774.11,Italian,59.52,24,1,421.0,36261.27
200,40.17,694.65,Italian,38.82,55,0,460.0,49442.17
189,59.21,1398.25,Indian,35.67,28,1,116.0,39965.56
49,45.38,198.88,Indian,28.02,71,1,267.0,9520.83
272,41.3,1588.35,Japanese,47.42,58,1,67.0,66838.69
210,55.23,1124.47,Indian,35.75,35,1,140.0,49054.53
234,41.64,2650.03,American,53.26,127,1,90.0,63757.91
246,37.04,2858.51,Italian,24.34,179,0,263.0,35863.96
32,36.91,2557.37,Indian,30.01,156,0,242.0,6511.9
154,51.66,2502.45,American,47.88,143,1,391.0,37804.11
126,30.15,1881.7,Italian,9.81,136,0,480.0,19957.17
130,27.55,2209.51,American,42.96,59,0,10.0,32356.81
254,18.78,795.42,Indian,27.74,82,0,474.0,33985.32
37,24.21,2295.15,Japanese,23.16,88,1,147.0,9683.41
25,31.23,1637.35,Indian,44.2,118,0,210.0,7781.06
69,8.93,319.45,American,39.97,139,0,323.0,10811.24
125,23.27,2483.38,Italian,52.79,96,0,245.0,40304.28
202,8.11,2187.47,American,24.34,162,1,294.0,28753.67
195,12.19,1946.0,Japanese,29.22,157,1,142.0,32228.09
107,26.06,2136.3,Mexican,58.87,178,0,231.0,32528.28
169,35.45,2301.54,Japanese,14.1,54,1,197.0,20117.57
280,23.32,554.11,Italian,27.87,80,1,299.0,45960.03
96,51.88,2230.07,Italian,24.62,37,0,130.0,16138.6
253,21.83,2196.83,American,27.57,53,0,73.0,35798.22
282,24.76,2692.42,Indian,36.37,36,0,476.0,51498.46
245,17.95,986.04,Indian,31.99,188,0,7.0,30623.62
105,28.55,1681.81,American,52.47,106,0,79.0,25685.79
178,16.14,654.7,Mexican,46.87,41,1,324.0,47663.74
267,19.01,753.82,Indian,26.86,145,0,288.0,43078.23
203,29.72,795.88,Italian,39.57,27,1,129.0,43841.03
141,11.85,1157.97,American,23.21,38,1,155.0,13275.17
96,54.42,103.2,American,26.03,47,0,472.0,20496.74
219,33.28,1838.58,Mexican,58.42,185,1,43.0,62008.02
105,27.88,844.83,Italian,25.44,30,0,72.0,9640.22
206,13.54,367.68,Indian,19.91,116,0,467.0,14289.48
250,38.9,2950.57,Japanese,8.02,52,1,49.0,8382.15
83,28.74,2064.94,Italian,33.56,86,0,409.0,23969.5
55,18.35,1674.19,Indian,24.05,149,0,493.0,7869.83
97,42.38,931.99,Indian,28.57,192,0,61.0,2273.39
137,32.88,1764.49,Japanese,50.86,155,0,278.0,30839.84
235,55.58,1844.59,Mexican,10.8,70,1,75.0,14699.29
181,53.29,748.83,Indian,39.28,25,1,108.0,45390.58
65,26.1,111.79,Italian,56.56,37,1,397.0,16211.22
136,28.94,179.21,Indian,59.98,115,0,162.0,35184.05
65,55.43,696.35,Italian,36.26,101,1,211.0,17545.39
62,58.16,859.8,Mexican,8.38,92,1,386.0,13696.64
115,49.12,2096.77,Mexican,24.25,99,0,2.0,13228.62
203,11.77,2632.37,Japanese,49.3,181,0,263.0,45731.06
250,10.13,398.93,Italian,26.07,49,1,184.0,28230.31
285,40.12,2507.76,American,56.59,182,1,264.0,88945.47
289,47.24,1264.18,American,18.32,130,0,12.0,34978.77
21,44.8,205.34,Italian,20.73,61,0,422.0,4017.12
228,48.57,2197.59,Japanese,8.35,43,1,194.0,14733.43
68,16.61,2859.1,American,44.2,196,0,168.0,21253.02
173,9.04,407.97,Mexican,53.95,175,1,206.0,43598.97
181,37.12,1840.92,Mexican,59.07,140,1,121.0,61026.31
275,54.39,525.51,Indian,13.76,41,1,27.0,35655.23
84,21.02,2299.76,Japanese,10.53,60,1,410.0,1233.45
286,17.71,884.57,Italian,31.64,34,0,112.0,42523.28
47,53.84,2409.73,Mexican,40.8,38,1,362.0,12878.82
176,25.69,796.85,Indian,24.46,30,1,470.0,19361.34
28,26.36,351.06,Japanese,52.41,69,1,305.0,7809.32
267,39.66,126.13,American,19.68,114,1,18.0,34373.2
120,21.94,1086.9,American,23.64,63,1,286.0,7890.41
274,56.79,617.21,American,23.4,76,0,116.0,38764.35
27,17.89,1129.79,Japanese,52.52,164,0,271.0,8907.21
261,9.13,1295.46,Italian,38.24,176,0,176.0,43231.46
163,31.32,820.09,American,15.33,24,1,74.0,13043.05
148,38.56,2591.52,Indian,45.01,186,1,90.0,29375.77
230,22.49,2087.23,Indian,27.8,87,1,158.0,34479.91
251,47.46,2454.58,American,15.32,131,0,169.0,27388.85
196,11.35,1667.09,American,39.17,54,0,115.0,34540.06
64,24.77,497.61,Indian,30.13,111,1,216.0,17198.66
29,31.34,2091.71,American,22.93,118,0,3.0,3763.48
196,57.33,2236.63,Italian,54.99,138,0,372.0,54239.98
147,14.98,1904.43,American,49.18,146,0,157.0,41409.15
25,15.58,2163.73,Japanese,34.54,149,1,253.0,8594.36
164,18.58,2708.53,Indian,48.34,198,1,141.0,45085.44
31,47.19,396.68,American,56.47,74,1,379.0,15917.89
180,23.38,835.4,Italian,49.2,111,0,154.0,39580.86
56,24.57,621.76,Indian,59.52,120,1,367.0,12760.12
89,37.33,1597.7,Indian,27.55,106,1,399.0,22775.7
113,29.65,1631.79,Mexican,49.1,64,0,54.0,17892.64
69,40.04,2420.33,Italian,25.71,83,0,367.0,8291.13
243,34.03,2449.25,Italian,25.89,69,1,299.0,44283.0
155,44.79,650.02,Italian,22.74,76,0,105.0,18095.2
112,59.31,2889.33,Mexican,43.86,90,0,471.0,30955.15
198,25.97,2202.72,Italian,23.61,126,1,131.0,22700.71
196,19.14,968.11,Italian,49.07,61,0,170.0,56272.59
67,15.61,811.36,Italian,25.16,89,0,189.0,8382.77
146,28.54,576.67,Italian,43.75,191,1,398.0,37759.64
231,55.57,2560.75,Mexican,14.19,79,0,405.0,18948.91
125,18.67,2453.39,Indian,40.45,86,0,74.0,27706.15
97,26.51,2334.42,Indian,14.71,173,1,367.0,12907.66
44,53.15,1135.69,Japanese,13.76,71,1,391.0,3665.5
87,53.5,1899.28,Italian,17.72,73,1,149.0,14852.74
69,39.97,2543.35,Indian,36.9,108,0,463.0,13239.74
53,47.28,1042.4,Italian,15.37,179,1,22.0,8192.81
88,53.14,149.61,American,55.39,125,1,422.0,24563.31
250,12.5,1180.64,Italian,51.86,59,0,421.0,57092.41
115,29.07,2119.05,Italian,48.55,29,0,82.0,21494.99
145,55.33,1342.13,American,38.23,125,0,70.0,32645.29
271,34.12,218.08,Mexican,52.78,179,0,32.0,68199.1
81,18.24,1896.19,Japanese,59.7,159,1,391.0,21535.08
98,32.51,2648.93,Italian,34.43,139,1,73.0,26715.6
96,49.54,249.5,Mexican,51.61,75,1,399.0,27653.75
142,57.94,2356.54,Italian,33.64,25,1,329.0,29073.5
28,51.41,327.51,Italian,59.24,113,0,482.0,5848.66
200,35.75,2884.68,Indian,47.4,170,1,189.0,54960.21
114,43.28,2461.24,Japanese,39.66,164,0,346.0,25335.29
227,14.51,2949.43,Indian,58.03,82,1,384.0,60913.39
204,58.16,2998.29,American,56.55,60,1,456.0,62761.63
201,41.02,1453.96,Japanese,46.24,150,0,275.0,50391.01
54,8.86,1953.8,Japanese,36.41,49,1,324.0,11175.15
288,52.99,734.23,Japanese,43.09,25,0,122.0,71939.53
280,14.7,2544.17,American,20.59,188,1,323.0,35636.48
64,33.6,905.7,Indian,18.84,64,0,117.0,17925.02
296,20.5,342.48,Mexican,12.29,42,1,338.0,19346.3
294,24.66,835.78,Mexican,49.89,130,1,240.0,74348.51
204,42.96,2038.39,Mexican,27.7,101,0,84.0,30698.89
169,8.6,2743.4,Indian,31.02,189,1,295.0,25299.0
141,35.15,2905.95,American,42.53,129,0,39.0,30468.35
38,19.04,528.53,Indian,9.85,134,1,104.0,1206.75
267,53.44,671.53,American,14.1,161,0,80.0,32163.24
25,24.9,1267.79,American,55.86,33,1,34.0,1435.49
153,25.92,1518.65,American,39.59,47,0,130.0,29903.1
177,29.35,444.35,Italian,10.29,164,0,222.0,15711.67
266,48.98,583.68,Japanese,36.46,44,0,123.0,57727.29
88,34.43,53.58,Japanese,39.2,199,0,118.0,17947.81
258,45.49,2261.48,Indian,21.33,153,1,142.0,37176.62
122,47.13,744.5,Mexican,47.97,184,0,227.0,30688.37
225,25.41,729.52,Indian,47.87,119,1,138.0,57585.02
108,19.12,2444.98,Italian,34.48,48,1,234.0,19053.05
111,33.23,50.72,Mexican,59.89,112,0,304.0,35579.59
36,38.04,2012.85,Italian,26.87,126,0,444.0,12810.53
153,9.2,2847.04,Japanese,35.68,54,1,38.0,37281.22
124,11.74,1348.48,Japanese,12.11,22,0,71.0,6924.04
113,43.21,1454.09,Japanese,17.2,183,0,351.0,17493.05
93,58.44,1755.96,Italian,12.45,179,0,125.0,11413.49
203,56.87,2013.49,Italian,40.46,141,0,209.0,47475.01
226,21.7,1327.91,American,39.49,148,0,456.0,41064.16
210,52.27,981.02,Mexican,36.27,122,0,122.0,42691.26
57,40.12,220.37,Indian,42.85,144,1,302.0,16667.13
261,42.64,1421.0,Mexican,13.15,97,1,379.0,25920.61
285,51.67,2448.1,Italian,8.22,121,0,23.0,20689.78
183,28.08,2899.07,Indian,13.06,146,0,169.0,21073.58
35,51.78,2567.11,Japanese,39.52,64,0,371.0,9366.54
180,50.54,1904.48,Mexican,30.51,135,1,9.0,32248.54
218,14.52,2743.18,Japanese,52.26,144,0,496.0,53146.4
232,38.17,2673.29,Indian,44.12,179,1,149.0,54462.99
53,30.67,2097.85,Japanese,25.35,64,0,298.0,4786.24
41,52.59,1814.78,Indian,29.08,187,1,372.0,10789.23
287,21.83,1934.98,Italian,28.72,60,1,110.0,43007.97
159,16.56,2057.98,Japanese,26.6,48,0,206.0,15546.34
56,24.52,2904.41,American,19.65,150,0,335.0,11415.73
257,58.29,314.93,Indian,35.5,184,1,173.0,53393.07
191,15.26,2273.83,Indian,20.05,127,1,405.0,14403.07
273,48.95,2524.2,Indian,43.53,30,1,123.0,66260.81
219,17.99,835.93,Mexican,8.39,131,0,169.0,8292.23
283,19.07,757.96,Italian,57.67,47,0,355.0,76298.59
146,53.0,322.22,Italian,41.6,64,0,214.0,27416.76
